Brand,Perfume Name,Gender,Scent Profile,Occasion,Main 3 Notes,Personality / Mood
YSL,Manifesto Eau de Parfum,Women,"Floral, Woody, Sweet","Evening, Date","Jasmine, Vanilla, Sandalwood","Confident, passionate, elegant, artistic"
YSL,Opium Eau de Parfum,Women,"Oriental, Spicy, Warm","Night, Winter","Myrrh, Jasmine, Amber","Exotic, mysterious, passionate, classic"
YSL,YSL Libre Intense,Women,"Oriental, Floral, Warm","Night, Special","Lavender, Orange Blossom, Vanilla","Bold, daring, intense, independent"
YSL,YSL Black Opium Neon,Women,"Gourmand, Floral, Sweet","Night, Parties","Blackcurrant, Coffee, Jasmine","Vibrant, youthful, electric, bold"
YSL,YSL Mon Paris Couture,Women,"Fruity, Floral, Sweet","Daytime, Romantic","Raspberry, Peony, Musk","Elegant, romantic, modern, joyful"
YSL,Y Eau de Parfum,Men,"Woody, Aromatic, Fresh","Daytime, Casual","Bergamot, Ginger, Cedar","Modern, dynamic, adventurous, confident"
YSL,La Nuit de L Homme,Men,"Spicy, Woody, Oriental","Evening, Date","Cardamom, Cedar, Lavender","Mysterious, sensual, charismatic, seductive"
YSL,L Homme,Men,"Woody, Fresh, Citrus","Office, Daytime","Ginger, Vetiver, Tonka Bean","Polished, elegant, approachable, confident"
YSL,Y Le Parfum,Men,"Woody, Aromatic, Warm","Evening, Formal","Bergamot, Sage, Amberwood","Intense, strong-willed, charismatic, sophisticated"
YSL,Kouros Eau de Toilette,Men,"Aromatic, Woody, Spicy","Night, Formal","Aldehydes, Coriander, Oakmoss","Strong, classic, masculine, assertive"
YSL,Jazz Eau de Toilette,Men,"Woody, Aromatic, Spicy","Casual, Daytime","Pepper, Tobacco, Musk","Cool, laid-back, confident, smooth"
YSL,YSL L Homme Cologne,Men,"Fresh, Citrusy, Aromatic","Summer, Daytime","Lemon, Bergamot, Ginger","Fresh, vibrant, youthful, energetic"
YSL,YSL La Nuit de L Homme Bleu,Men,"Woody, Spicy, Aromatic","Evening, Night","Bergamot, Pepper, Cedar","Elegant, mysterious, romantic"
YSL,YSL Y Eau Fraiche,Men,"Fresh, Citrusy, Aquatic","Summer, Daytime","Lemon, Ginger, Vetiver","Bright, refreshing, active, optimistic"
YSL,YSL Y Le Parfum Intense,Men,"Woody, Aromatic, Warm","Evening, Formal","Bergamot, Sage, Cedarwood","Strong, magnetic, charismatic"
YSL,YSL Y Men,Men,"Woody, Aromatic, Fresh","Daily, Office","Bergamot, Ginger, Sage","Confident, ambitious, modern"
YSL,YSL Elle Eau de Parfum,Women,"Floral, Fruity, Fresh","Daytime, Casual","Rose, Pear, Musk","Feminine, fresh, approachable"
YSL,YSL Manifesto L Elixir,Women,"Floral, Woody, Sweet","Evening, Special","Jasmine, Vanilla, Patchouli","Intense, passionate, alluring"
YSL,YSL Nu,Women,"Floral, Woody, Oriental","Evening, Night","Orange Blossom, Patchouli, Musk","Elegant, warm, sensual"
YSL,YSL Parisienne Eau de Parfum,Women,"Floral, Woody, Powdery","Daytime, Romantic","Damask Rose, Violet, Cedarwood","Romantic, artistic, feminine"
YSL,YSL Opium Noir,Women,"Oriental, Spicy, Woody","Night, Winter","Black Orchid, Patchouli, Incense","Dark, mysterious, seductive"
YSL,YSL Manifesto L Eau Blanche,Women,"Floral, Woody, Fresh","Daytime, Spring","Jasmine, Neroli, Musk","Light, fresh, elegant"
YSL,YSL Baby Doll,Women,"Floral, Fresh, Fruity","Daytime, Spring","Strawberry, Peony, Amber","Sweet, playful, youthful"
YSL,YSL L Homme Ultime,Men,"Woody, Spicy, Aromatic","Evening, Date","Ginger, Bergamot, Cedarwood","Refined, sensual, confident"
YSL,YSL Jazz Eau Intense,Men,"Woody, Aromatic, Spicy","Evening, Casual","Patchouli, Vetiver, Tobacco","Bold, charismatic, relaxed"
YSL,YSL Y Intense,Men,"Woody, Aromatic, Warm","Evening, Formal","Bergamot, Ginger, Tonka Bean","Strong, confident, magnetic"
Valentino,Valentino Donna Eau de Parfum,Women,"Floral, Woody, Powdery","Daytime, Formal","Rose, Vanilla, Patchouli","Elegant, romantic, classic beauty"
Valentino,Valentino Donna Born In Roma,Women,"Floral, Oriental, Woody","Evening, Special","Jasmine, Blackcurrant, Vanilla","Bold, modern, edgy, confident"
Valentino,Valentino Uomo,Men,"Woody, Oriental, Gourmand","Evening, Casual","Bergamot, Hazelnut, Leather","Warm, sophisticated, charismatic"
Valentino,Valentino Uomo Intense,Men,"Woody, Spicy, Warm","Night, Formal","Bergamot, Coffee, Vanilla","Intense, passionate, refined"
Valentino,Valentino Uomo Born In Roma,Men,"Oriental, Woody, Aromatic","Evening, Special","Black Pepper, Leather, Vanilla","Adventurous, bold, sexy"
Valentino,Valentino Voce Viva,Women,"Floral, Woody, Vanilla","Evening, Glamorous","Mandarin, Jasmine, Vanilla","Confident, radiant, expressive"
Valentino,Valentino Valentina,Women,"Floral, Fruity, Woody","Daytime, Romantic","Bergamot, Jasmine, White Musk","Feminine, joyful, elegant"
Valentino,Valentino Valentina Pink,Women,"Floral, Fruity, Fresh","Daytime, Casual","Rose, Peony, Citrus","Playful, fresh, youthful"
Valentino,Valentino Uomo Acqua,Men,"Fresh, Aquatic, Woody","Summer, Casual","Bergamot, Neroli, Cedarwood","Fresh, energetic, natural"
Valentino,Valentino Donna Acqua,Women,"Fresh, Citrus, Floral","Summer, Daytime","Lemon, Orange Blossom, Cedarwood","Bright, cheerful, elegant"
Valentino,Valentino Donna Rosa Verde,Women,"Floral, Green, Woody","Spring, Daytime","Rose, Mint, Patchouli","Fresh, vibrant, modern"
Valentino,Valentino Uomo Noir Absolu,Men,"Oriental, Woody, Sweet","Night, Winter","Praline, Vanilla, Patchouli","Seductive, warm, mysterious"
Valentino,Valentino Uomo Intense Oud,Men,"Woody, Oriental, Spicy","Evening, Formal","Oud, Amber, Vanilla","Luxurious, intense, charismatic"
Valentino,Valentino Born In Roma Yellow Dream,Women,"Floral, Fruity, Gourmand","Daytime, Spring","Peach, Orange Blossom, Vanilla","Bright, optimistic, sweet"
Valentino,Valentino Donna Born In Roma Yellow Dream,Women,"Floral, Woody, Fresh","Daytime, Casual","Lemon, Jasmine, Cedarwood","Fresh, radiant, youthful"
Valentino,Valentino Voce Viva Intensa,Women,"Floral, Oriental, Warm","Evening, Special","Jasmine, Orange Blossom, Vanilla","Intense, passionate, elegant"
Valentino,Valentino Uomo Intense Oud Absolu,Men,"Woody, Oriental, Spicy","Night, Winter","Oud, Amber, Praline","Powerful, mysterious, refined"
Valentino,Valentino Uomo Intense Leather,Men,"Woody, Leather, Spicy","Evening, Formal","Leather, Vanilla, Amber","Bold, sophisticated, confident"
Valentino,Valentino Donna Eau Fraiche,Women,"Fresh, Citrus, Floral","Daytime, Summer","Bergamot, Lemon, Jasmine","Light, fresh, vibrant"
Valentino,Valentino Uomo Eau Fraiche,Men,"Fresh, Aquatic, Woody","Summer, Daytime","Bergamot, Neroli, Cedarwood","Energetic, fresh, casual"
Valentino,Valentino Voce Viva Blossom,Women,"Floral, Fresh, Sweet","Spring, Daytime","Orange Blossom, Freesia, Musk","Joyful, fresh, feminine"
Valentino,Valentino Uomo Intense Aroma,Men,"Woody, Spicy, Warm","Evening, Winter","Vanilla, Tonka Bean, Amber","Warm, intense, sensual"
Valentino,Valentino Donna Born In Roma Eau de Parfum,Women,"Floral, Woody, Warm","Evening, Formal","Jasmine, Vanilla, Blackcurrant","Elegant, bold, confident"
Valentino,Valentino Uomo Uomo Noir Absolu,Men,"Oriental, Woody, Sweet","Night, Special","Vanilla, Patchouli, Amber","Mysterious, seductive, refined"
Valentino,Valentino Donna Pink Bouquet,Women,"Floral, Fresh, Sweet","Spring, Daytime","Peony, Jasmine, Cedarwood","Sweet, playful, romantic"
Valentino,Valentino Uomo Noir,Men,"Oriental, Woody, Warm","Evening, Winter","Patchouli, Vanilla, Coffee","Seductive, warm, charismatic"
Valentino,Valentino Donna,Women,"Floral, Woody, Powdery","Daytime, Formal","Rose, Vanilla, Patchouli","Classic, elegant, feminine"
Valentino,Valentino Uomo,Men,"Woody, Oriental, Gourmand","Evening, Casual","Bergamot, Hazelnut, Leather","Warm, sophisticated, charming"
Valentino,Valentino Donna Acqua,Women,"Fresh, Citrus, Floral","Summer, Daytime","Lemon, Orange Blossom, Cedarwood","Bright, cheerful, fresh"
Valentino,Valentino Uomo Acqua,Men,"Fresh, Aquatic, Woody","Summer, Casual","Bergamot, Neroli, Cedarwood","Energetic, natural, refreshing"
Herm s,Terre d Herm s Eau de Toilette,Men,"Woody, Spicy, Earthy","Office, Evening","Orange, Vetiver, Cedar","Grounded, intellectual, elegant"
Herm s,Terre d Herm s Parfum,Men,"Woody, Earthy, Citrus","Evening, Formal","Grapefruit, Cedar, Benzoin","Mature, deep-thinking, refined"
Herm s,Terre d Herm s Eau Givr e,Men,"Citrus, Woody, Fresh","Summer, Daytime","Citron, Juniper, Timut Pepper","Fresh, vibrant, composed"
Herm s,H24 Eau de Toilette,Men,"Aromatic, Green, Fresh","Daytime, Modern","Clary Sage, Narcissus, Rosewood","Contemporary, clean, optimistic"
Herm s,H24 Eau de Parfum,Men,"Aromatic, Woody, Warm","Evening, Formal","Oak Moss, Clary Sage, Narcissus","Intense, modern, confident"
Herm s,Un Jardin Sur Le Nil,Unisex,"Green, Citrus, Fruity","Summer, Daytime","Green Mango, Lotus, Incense","Artistic, serene, wanderlust"
Herm s,Un Jardin en M diterran e,Unisex,"Woody, Green, Aromatic","Spring, Outdoors","Fig, Cypress, Cedar","Earthy, thoughtful, calm"
Herm s,Un Jardin Apr s La Mousson,Unisex,"Spicy, Aquatic, Fresh","Monsoon, Daytime","Ginger, Vetiver, Coriander","Refreshing, creative, introspective"
Herm s,Un Jardin Sur Le Toit,Unisex,"Fruity, Green, Floral","Spring, Casual","Apple, Pear, Basil","Cheerful, spontaneous, playful"
Herm s,Eau d Orange Verte,Unisex,"Citrus, Aromatic, Fresh","Summer, Casual","Orange, Mint, Oakmoss","Energized, fresh, crisp"
Herm s,Eau de Mandarine Ambr e,Unisex,"Citrus, Amber, Sweet","Daytime, Cozy","Mandarin, Passionfruit, Amber","Warm, joyful, comforting"
Herm s,Eau de Pamplemousse Rose,Unisex,"Citrus, Fresh, Green","Daytime, Office","Grapefruit, Rose, Rhubarb","Sharp, elegant, minimalist"
Herm s,Eau de Rhubarbe  carlate,Unisex,"Fruity, Fresh, Tart","Spring, Casual","Rhubarb, Red Berries, Musk","Playful, youthful, light-hearted"
Herm s,Eau de Citron Noir,Unisex,"Citrus, Smoky, Aromatic","Summer, Evening","Black Lemon, Tea, Wood","Unconventional, mysterious, zesty"
Herm s,Eau de Narcisse Bleu,Unisex,"Floral, Green, Powdery","Formal, Daytime","Narcissus, Orange Blossom, Musk","Graceful, artistic, serene"
Herm s,Eau des Merveilles,Women,"Woody, Amber, Aquatic","Daytime, Unique","Orange, Ambergris, Vetiver","Magical, quirky, enchanting"
Herm s,L Ambre des Merveilles,Women,"Amber, Sweet, Warm","Evening, Winter","Amber, Vanilla, Labdanum","Cozy, sophisticated, warm"
Herm s,Elixir des Merveilles,Women,"Spicy, Gourmand, Amber","Night, Romantic","Orange Peel, Caramel, Patchouli","Sensual, dreamy, luxurious"
Herm s,Eau Claire des Merveilles,Women,"Woody, Powdery, Soft","Spring, Casual","Musk, Iris, Orange","Soft, delicate, poetic"
Herm s,Twilly d Herm s,Women,"Spicy, Floral, Fresh","Daytime, Youthful","Ginger, Tuberose, Sandalwood","Spirited, bold, quirky"
Herm s,Twilly Eau Poivr e,Women,"Spicy, Floral, Woody","Evening, Bold","Pink Pepper, Rose, Patchouli","Sassy, edgy, rebellious"
Herm s,Twilly Eau Ginger,Women,"Fresh, Floral, Spicy","Summer, Day","Peony, Ginger, Cedarwood","Lighthearted, cheerful, stylish"
Herm s,Jour d Herm s,Women,"Floral, Green, Elegant","Daytime, Feminine","Gardenia, Citrus, White Flowers","Feminine, optimistic, graceful"
Herm s,Jour d Herm s Absolu,Women,"Floral, Fruity, Musky","Formal, Bright","Jasmine, Apricot, Woody Notes","Confident, radiant, mature"
Herm s,Kelly Cal che,Women,"Leather, Floral, Powdery","Evening, Chic","Iris, Leather, Mimosa","Sophisticated, modern, classy"
Herm s,Galop d Herm s,Women,"Leather, Floral, Rosy","Night, Statement","Rose, Leather, Saffron","Bold, distinctive, daring"
Herm s,Rose Ikebana,Unisex,"Floral, Green, Delicate","Spring, Light","Rose, Rhubarb, Tea","Artistic, calm, minimalist"
Herm s,Cuir d Ange,Unisex,"Leather, Powdery, Soft","Evening, Refined","Leather, Heliotrope, Violet","Dreamy, smooth, luxurious"
Herm s,Santal Masso a,Unisex,"Woody, Creamy, Soft","Autumn, Cozy","Sandalwood, Coconut, Fig","Serene, grounding, comforting"
Herm s,Ambre Narguil ,Unisex,"Warm, Spicy, Sweet","Winter, Evening","Amber, Honey, Cinnamon","Cozy, indulgent, luxurious"
Carolina Herrera,Good Girl,Women,"Sweet, Oriental, Floral","Evening, Special","Tuberose, Tonka Bean, Jasmine","Confident, seductive, glamorous"
Carolina Herrera,Good Girl Supreme,Women,"Sweet, Fruity, Gourmand","Night, Party","Berries, Jasmine, Tonka Bean","Bold, playful, mysterious"
Carolina Herrera,Good Girl Blush,Women,"Floral, Powdery, Fresh","Daytime, Romantic","Peony, Ylang-Ylang, Vanilla","Feminine, elegant, radiant"
Carolina Herrera,Good Girl L g re,Women,"Floral, Creamy, Warm","Evening, Feminine","Jasmine, Dulce de Leche, Tonka Bean","Softly seductive, confident, sensual"
Carolina Herrera,Good Girl Dazzling Garden,Women,"Floral, Sweet, Limited","Evening, Elegant","Jasmine, Tuberose, Cacao","Luxurious, confident, celebratory"
Carolina Herrera,Very Good Girl,Women,"Fruity, Floral, Warm","Night, Flirty","Red Currant, Rose, Vetiver","Cheeky, bold, fun-loving"
Carolina Herrera,Very Good Girl Glam,Women,"Cherry, Floral, Sweet","Special, Party","Cherry, Rose, Almond","Daring, sparkling, dramatic"
Carolina Herrera,212 VIP,Women,"Oriental, Sweet, Rum","Nightlife, Bold","Rum, Passionfruit, Tonka Bean","Social, trendy, magnetic"
Carolina Herrera,212 VIP Ros ,Women,"Fruity, Floral, Fresh","Daytime, Chic","Champagne, Peach Blossom, Musk","Feminine, elegant, trendy"
Carolina Herrera,212 VIP Black,Men,"Aromatic, Warm, Sweet","Evening, Confident","Absinthe, Lavender, Vanilla","Bold, stylish, seductive"
Carolina Herrera,212 VIP Men,Men,"Spicy, Sweet, Woody","Nightlife, Fun","Passionfruit, Mint, Amber","Charismatic, party lover, confident"
Carolina Herrera,212 Men,Men,"Fresh, Citrus, Woody","Daytime, Clean","Grapefruit, Ginger, Musk","Sporty, youthful, approachable"
Carolina Herrera,212 Men Aqua,Men,"Aquatic, Fresh, Aromatic","Summer, Daytime","Sea Notes, Grapefruit, Patchouli","Energetic, clean, casual"
Carolina Herrera,CH Men,Men,"Oriental, Spicy, Leather","Evening, Sensual","Leather, Violet, Sugar","Sophisticated, romantic, mysterious"
Carolina Herrera,CH Men Priv ,Men,"Boozy, Leather, Warm","Night, Romantic","Whiskey, Leather, Tonka Bean","Seductive, daring, confident"
Carolina Herrera,CH Women,Women,"Floral, Spicy, Sweet","Daytime, Feminine","Orange Blossom, Praline, Cinnamon","Elegant, sweet, sensual"
Carolina Herrera,CH Eau de Parfum Sublime,Women,"Floral, Powdery, Musky","Formal, Elegant","Rose, Patchouli, Leather","Sophisticated, mysterious, graceful"
Carolina Herrera,CH L Eau,Women,"Fresh, Citrus, Floral","Summer, Light","Lemon, Tea, Jasmine","Refreshing, lively, natural"
Carolina Herrera,212 Sexy,Women,"Sweet, Powdery, Floral","Evening, Intimate","Vanilla, Gardenia, Musk","Flirty, warm, cozy"
Carolina Herrera,212 Sexy Men,Men,"Oriental, Spicy, Woody","Evening, Date","Bergamot, Cardamom, Vanilla","Smooth, romantic, confident"
Carolina Herrera,Bad Boy,Men,"Warm, Spicy, Sweet","Night, Bold","Black Pepper, Tonka Bean, Amberwood","Rebellious, charismatic, edgy"
Carolina Herrera,Bad Boy Le Parfum,Men,"Aromatic, Leather, Bold","Night, Statement","Cannabis, Leather, Grapefruit","Intense, daring, unapologetic"
Carolina Herrera,Bad Boy Cobalt,Men,"Fresh, Aromatic, Mineral","Day, Sporty","Pink Pepper, Plum, Vetiver","Modern, energetic, powerful"
Carolina Herrera,Bad Boy Extreme,Men,"Oriental, Smoky, Gourmand","Night, Winter","Cacao, Patchouli, Tonka Bean","Intense, sensual, dramatic"
Carolina Herrera,212 Heroes Forever Young,Women,"Floral, Fruity, Fresh","Spring, Youthful","Raspberry, Jasmine, Cedar","Joyful, free-spirited, fresh"
Carolina Herrera,212 Heroes Men,Men,"Fresh, Aromatic, Fruity","Summer, Playful","Pear, Ginger, Leather","Youthful, rebellious, fun"
Carolina Herrera,212 Heroes for Her,Women,"Floral, Citrusy, Clean","Daytime, Feminine","Mandarin, Jasmine, Cedarwood","Fresh, uplifting, modern"
Carolina Herrera,212 VIP Black Extra,Men,"Warm, Sweet, Aromatic","Party, Special","Rum, Cacao, Musk","Magnetic, bold, playful"
Carolina Herrera,CH Africa Men Limited Edition,Men,"Woody, Spicy, Warm","Evening, Adventure","Pepper, Coffee, Leather","Exotic, bold, daring"
Carolina Herrera,CH Africa Women Limited Edition,Women,"Spicy, Floral, Woody","Evening, Glamorous","Cinnamon, Incense, Orange Blossom","Mysterious, vibrant, confident"
Versace,Bright Crystal Absolu,Women,"Floral, Fruity, Musky","Evening, Romantic","Raspberry, Peony, Amber","Intense, Sensual, Elegant"
Versace,Crystal Noir,Women,"Oriental, Floral","Evening, Formal","Gardenia, Amber, Musk","Mysterious, Alluring"
Versace,Yellow Diamond,Women,"Citrus, Floral","Daytime, Summer","Lemon, Mimosa, Amber","Radiant, Joyful, Sophisticated"
Versace,Yellow Diamond Intense,Women,"Floral, Citrus","Evening, Special","Neroli, Jasmine, Amber","Bold, Glamorous"
Versace,Versense,Women,"Woody, Floral, Citrus","Daytime, Casual","Bergamot, Fig, Cedar","Fresh, Natural, Energetic"
Versace,Vanitas,Women,"Floral, Woody","Daytime, Office","Lime, Tiare Flower, Tonka Bean","Elegant, Feminine, Soft"
Versace,Eros Pour Femme,Women,"Floral, Woody, Citrus","Evening, Romantic","Sicilian Lemon, Jasmine, Sandalwood","Passionate, Sensual"
Versace,Eros Pour Femme EDT,Women,"Floral, Citrus","Daytime, Spring","Sicilian Lemon, Jasmine, Musk","Bright, Feminine, Fresh"
Versace,Dylan Blue Pour Femme,Women,"Floral, Fruity, Musky","Daytime, Modern","Blackcurrant, Apple, Jasmine","Confident, Sophisticated"
Versace,Dylan Turquoise,Women,"Floral, Fruity, Citrus","Summer, Casual","Lemon, Guava, Musk","Playful, Vibrant, Youthful"
Versace,Red Jeans,Women,"Floral, Fruity","Daytime, Casual","Peach, Freesia, Vanilla","Cheerful, Sweet, Youthful"
Versace,Baby Rose Jeans,Women,"Floral, Fresh","Daytime, Spring","Rose, Violet, Musk","Delicate, Romantic"
Versace,Yellow Jeans,Women,"Floral, Fruity","Daytime, Summer","Peach, Jasmine, Musk","Bright, Joyful"
Versace,White Jeans,Women,"Floral, Powdery","Daytime, Elegant","Violet, Jasmine, Musk","Soft, Feminine"
Versace,Metal Jeans Women,Women,"Floral, Woody","Evening, Modern","Bergamot, Jasmine, Cedar","Bold, Contemporary"
Versace,Jeans Woman,Women,"Floral, Fruity","Daytime, Casual","Peach, Rose, Musk","Fresh, Youthful"
Versace,Gianni Versace Couture,Women,"Floral, Woody","Evening, Elegant","Jasmine, Sandalwood, Musk","Luxurious, Sophisticated"
Versace,Couture Jasmine,Women,Floral,"Daytime, Elegant","Jasmine, Musk, Woodsy Notes","Pure, Feminine"
Versace,Couture Tuberose,Women,Floral,"Evening, Romantic","Tuberose, Musk, Woodsy Notes","Sensual, Intense"
Versace,Couture Violet,Women,"Floral, Powdery","Daytime, Spring","Violet, Musk, Woodsy Notes","Soft, Romantic"
Versace,Essence Emotional,Women,"Floral, Fruity","Daytime, Casual","Peach, Jasmine, Musk","Joyful, Light-hearted"
Versace,Essence Ethereal,Women,"Floral, Fresh","Daytime, Elegant","Lily, Musk, Woodsy Notes","Delicate, Graceful"
Versace,Essence Exciting,Women,"Floral, Spicy","Evening, Bold","Pepper, Jasmine, Musk","Energetic, Vibrant"
Versace,Eros,Men,"Aromatic, Woody","Evening, Romantic","Mint, Green Apple, Tonka Bean","Bold, Passionate"
Versace,Eros Flame,Men,"Woody, Spicy","Evening, Intense","Chinotto, Pepper, Tonka Bean","Fiery, Confident"
Versace,Eros Eau de Parfum,Men,"Aromatic, Woody","Evening, Elegant","Mint, Vanilla, Cedar","Sophisticated, Seductive"
Versace,Eros Parfum,Men,"Aromatic, Woody","Evening, Luxurious","Mint, Vanilla, Leather","Rich, Intense"
Versace,Dylan Blue Pour Homme,Men,"Woody, Aromatic","Daytime, Modern","Bergamot, Incense, Musk","Confident, Contemporary"
Versace,Man Eau Fraiche,Men,"Woody, Aquatic","Daytime, Summer","Lemon, Cedar, Musk","Fresh, Casual"
Burberry,Her Eau de Parfum,Women,"Fruity, Floral","Daytime, Casual","Red Berries, Jasmine, Musk","Energetic, Modern"
Burberry,Her Intense,Women,"Fruity, Gourmand","Evening, Bold","Blackberry, Jasmine, Benzoin","Deep, Sensual"
Burberry,Her Blossom,Women,"Floral, Fresh","Spring, Daytime","Plum Blossom, Peony, Musk","Light, Delicate"
Burberry,Her London Dream,Women,"Floral, Citrus","Daytime, Romantic","Lemon, Rose, Musk","Dreamy, Romantic"
Burberry,Her Elixir de Parfum,Women,"Fruity, Sweet","Evening, Glamorous","Strawberry, Vanilla, Amber","Bold, Alluring"
Burberry,My Burberry,Women,"Floral, Fresh","Daytime, Elegant","Sweet Pea, Rose, Patchouli","Classic, Sophisticated"
Burberry,My Burberry Blush,Women,"Floral, Fruity","Daytime, Spring","Pomegranate, Rose, Jasmine","Playful, Feminine"
Burberry,My Burberry Black,Women,"Floral, Oriental","Evening, Intense","Jasmine, Peach, Amber","Sensual, Bold"
Burberry,Burberry Goddess,Women,"Floral, Woody","Evening, Elegant","Lavender, Vanilla, Sandalwood","Divine, Empowering"
